security,sector,sub-industry
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology
VTR,Ventas Inc,Real Estate,Health Care REITs
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,Wec Energy Group Inc,Utilities,Electric Utilities
WELL,Welltower Inc.,Real Estate,Health Care REITs
WFC,Wells Fargo,Financials,Diversified Banks
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers
WRK,WestRock Company,Materials,Paper Packaging
WU,Western Union Co,Information Technology,Internet Software & Services
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production
XEL,Xcel Energy Inc,Utilities,Multi-Utilities
XL,XL Capital,Financials,Property & Casualty Insurance
XLNX,Xilinx Inc,Information Technology,Semiconductors
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals"
XYL,Xylem Inc.,Industrials,Industrial Machinery
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
